DlangUI log file
2026-03-18 23:38:20.689 I  Log level changed to Trace
2026-03-18 23:38:20.690 I  Logger is initialized
2026-03-18 23:38:20.690 D  myWinMain()
2026-03-18 23:38:20.690 I  Current executable: Z:\code\github.com\dev-centr\devcentr\app\
2026-03-18 23:38:20.690 I  Command line: 
2026-03-18 23:38:20.690 I  Command line params: ["Z:\\code\\github.com\\dev-centr\\devcentr\\app\\dev-center.exe"]
2026-03-18 23:38:20.690 V  Creating platform
2026-03-18 23:38:20.690 V  Registering window class
2026-03-18 23:38:20.690 V  Initializing font manager
2026-03-18 23:38:20.690 I  Creating Win32FontManager
2026-03-18 23:38:20.690 I  Win32FontManager.initialize()
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Marlett)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Arial)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Arial)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Arial)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Arial)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Arial)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Arial)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Arial)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Arial)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Arial)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Arial Black)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Arial Black)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Arial Black)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Arial Black)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Arial Black)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Arial Black)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift Light)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift Light)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift Light)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift Light)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift Light)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift Light)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift Light)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiLight)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiLight)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiLight)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiLight)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiLight)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiLight)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiLight)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift Light SemiCondensed)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift Light SemiCondensed)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift Light SemiCondensed)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift Light SemiCondensed)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift Light SemiCondensed)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift Light SemiCondensed)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift Light SemiCondensed)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiLight SemiConde)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiLight SemiConde)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiLight SemiConde)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiLight SemiConde)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiLight SemiConde)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiLight SemiConde)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiLight SemiConde)
2026-03-18 23:38:20.691 D  registerFont(SansSerif,Bahnschrift SemiCondensed)
